gameweek,season,name,deadline_time,average_score,highest_score,highest_scoring_entry,finished,data_checked,is_previous,is_current,is_next,cup_leagues_created,h2h_ko_matches_created,can_enter,can_manage,released,ranked_count,transfers_made,most_selected,most_transferred_in,top_element,top_element_info
11,2223,Gameweek 11,2022-10-16 13:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
12,2223,Gameweek 12,2022-10-19 18:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
13,2223,Gameweek 13,2022-10-23 13:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
14,2223,Gameweek 14,2022-10-29 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
15,2223,Gameweek 15,2022-11-06 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
16,2223,Gameweek 16,2022-11-12 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
20,2324,Gameweek 20,2023-12-30 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
21,2324,Gameweek 21,2024-01-21 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
22,2324,Gameweek 22,2024-01-30 20:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
23,2324,Gameweek 23,2024-02-03 17:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
24,2324,Gameweek 24,2024-02-10 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
25,2324,Gameweek 25,2024-02-18 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
26,2324,Gameweek 26,2024-02-25 13:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
27,2324,Gameweek 27,2024-03-04 20:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
28,2324,Gameweek 28,2024-03-09 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
29,2324,Gameweek 29,2024-03-16 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
30,2324,Gameweek 30,2024-03-30 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
31,2324,Gameweek 31,2024-04-04 18:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
32,2324,Gameweek 32,2024-04-07 16:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
33,2324,Gameweek 33,2024-04-13 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
34,2324,Gameweek 34,2024-04-20 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
13,2025/26,Gameweek 13,2025-11-29 13:30:00,35,123,12500352,t,t,f,f,f,t,t,f,f,t,12444059,16415537,,,684,"{'id': 684, 'points': 16}"
14,2025/26,Gameweek 14,2025-12-02 18:00:00,58,138,9285305,t,t,f,f,f,t,t,f,f,t,12472152,9442288,,,414,"{'id': 414, 'points': 17}"
15,2025/26,Gameweek 15,2025-12-06 11:00:00,49,133,6050277,t,t,f,f,f,t,t,f,f,t,12502403,11765293,,,449,"{'id': 449, 'points': 18}"
16,2025/26,Gameweek 16,2025-12-13 13:30:00,60,149,3781937,t,t,f,f,f,t,t,f,f,t,12544438,24497356,,,516,"{'id': 516, 'points': 19}"
